metadata,category
access:motor_vehicle:conditional,access
access:motorcar,access
access:motorcycle,access
access:note,access
access:parking:conditional,access
access:parking:lane:right,lanes
access:permissive,access
access:permit,access
access:psv,access
access:pt_bus,access
access:service,access
access:skateboard:conditional,access
access:snowmobile,winter
access:source,sources for metadata
access:trailer,access
access:vehicle,access
access:winter,winter
access_1,other
access_control,other
accessible,other
accuracy:meters,other
acess,other
acres,other
addr:block_number,address
addr:city,address
addr:city:en,address
addr:city:source,address
addr:city_1,address
addr:country,address
addr:county,address
addr:district,address
addr:grid,address
addr:hamlet,address
addr:housename,address
addr:housenumber,address
addr:housenumber2,address
addr:housenumber_1,address
addr:housenumber_2,address
addr:housenumber_3,address
addr:inclusion,address
addr:interpolation,address
addr:municipality,address
addr:name_type,address
addr:neighbourhood,address
addr:place,address
addr:postcode,address
addr:postcode:source,address
addr:postcode_1,address
addr:province,address
addr:range,address
addr:state,address
addr:street,address
addr:street:name,address
addr:street:prefix,address
addr:street:source,address
addr:street:type,address
addr:street_1,address
addr:suburb,address
addr:town,address
addr:unit,address
addr:zip,address
addr_cnt,address
addr_neigh,address
address range,address
admin_level,other
admin_org,other
admin_ref,other
administration,other
adopted,other
adot_name,names
aefccess,other
aerialway,other
aeroway,other
agency,other
agricultural,other
agricultural:conditional,other
airport,other
aligned_with,other
all_lanes,lanes
alley,other
alt,other
alt_name,names
alt_name1,names
alt_name2,names
alt_name:1,names
alt_name:2,names
alt_name:backward,names
alt_name:de,names
alt_name:el,names
alt_name:en,names
alt_name:etymology,names
alt_name:etymology:wikidata,Metadata for other datasets
alt_name:forward,names
alt_name:fr,names
alt_name:full,names
alt_name:historic,names
alt_name:left,names
alt_name:prefix,names
alt_name:pronunciation,names
alt_name:right,names
alt_name:source,sources for metadata
alt_name:vi,names
alt_name:vi:etymology:wikidata,Metadata for other datasets
alt_name_1,names
alt_name_2,names
alt_name_3,names
alt_name_4,names
alt_ref,other
alt_ref:1,other
alt_source,other
alt_tiger:name_base,names
altccess,other
amenity,other
amenity_1,other
animal,other
animal_shelter:adoption,other
annotation,other
architect,other
area,other
area:highway,other
ascent,other
assembly_point:tornado,other
assmntdist,other
association,other
atis_ref,other
atm,other
atspm:approach_compass,other
atspm:approach_compass:backward,other
atspm:approach_compass:forward,other
attraction,other
attribution,other
atv,other
atv:conditional,other
authorized,other
avgspeed,speed limits
backrest,other
bad_maxspeed,speed limits
bad_name,names
bank,other
barrier,other
barrier:obstacle_type,other
base_material_values,other
baseball,other
bburg:altname,names
bburg:dataset,other
bburg:id,other
bburg:maint,other
bburg:maxspeed,speed limits
bburg:name,names
bburg:suffix,other
bburg:type,other
bdouble,other
beds,other
bench,other
bic,other
bicycle,bicycle
bicycle:backward,bicycle
bicycle:conditional,bicycle
bicycle:designated,bicycle
bicycle:forward,bicycle
bicycle:lane,bicycle
bicycle:lanes,bicycle
bicycle:lanes:backward,bicycle
bicycle:lanes:both_ways,bicycle
bicycle:lanes:forward,bicycle
bicycle:non_experienced,bicycle
bicycle:source,bicycle
bicycle:suitability,bicycle
bicycle_parking,bicycle
bicycle_road,bicycle
bicycle_road:right,bicycle
bicycles,bicycle
bike,bicycle
bike-ability,bicycle
bike:safety,bicycle
bike:scenic,bicycle
bike_ride,bicycle
bikelane,bicycle
bin,other
blaze,other
blind,other
blm:closurestat,other
blm:maintlvl,other
blm:roadclass,other
blooper,other
bna,other
boat,other
border_type,other
both_ways,other
boundary,other
boundary_type,other
brand,other
brand:wikidata,Metadata for other datasets
brand:wikipedia,Metadata for other datasets
breezeway,other
bridge,bridges
bridge:alt_name,bridges
bridge:colour,bridges
bridge:descr,bridges
bridge:description,bridges
bridge:historic,bridges
bridge:id,bridges
bridge:loc_name,bridges
bridge:material,bridges
bridge:movable,bridges
bridge:name,bridges
bridge:name:en,bridges
bridge:name:etymology,bridges
bridge:name:etymology:wikidata,bridges
bridge:official_name,bridges
bridge:old_name,bridges
bridge:ref,bridges
bridge:source,sources for metadata
bridge:start_date,bridges
bridge:structure,bridges
bridge:type,bridges
bridge_1,bridges
bridge_descr,bridges
bridge_height,bridges
bridge_milestone,bridges
bridge_name,bridges
bridge_number,bridges
bridge_ref,bridges
bridge_type,bridges
builder,other
building,other
building:colour,other
building:levels,other
building:material,other
building:part,other
building:shape,other
building:type,other
building:units,other
building:use:retail,other
building:year_built,other
built,other
bus,bus
bus:backward,bus
bus:conditional,bus
bus:forward,bus
bus:lanes,bus
bus:lanes:backward,bus
bus:lanes:both_ways,bus
bus:lanes:conditional,bus
bus:lanes:forward,bus
bus:lanes:forward:conditional,bus
bus:toll,bus
bus_bay,bus
bus_bay:left:access,bus
bus_bay:left:bus,bus
bus_bay:right,bus
bus_bay:right:access,bus
bus_ref,bus
bus_route,bus
buses,bus
busway,bus
busway:both,bus
busway:conditional,bus
busway:forward,bus
busway:left,bus
busway:right,bus
busway:right:conditional,bus
cables,other
caltrans:district,other
caltrans:dynsegpm,other
caltrans:type,other
camel,other
camera:mount,other
camera:type,other
cancelled_ref,other
canoe,other
capacity,other
capacity:beast,other
capacity:cow,other
capacity:disabled,other
capacity:horse,other
capacity:mule,other
car,other
car_repair,other
caravan,other
caravan:forward,other
caravan:lanes,lanes
caravans,other
carriage,other
cartpath,other
category,other
causeway,other
caution,other
ccfc,other
census:population,other
center_stripe,other
center_turn_lane,turns
centre_turn_lane,turns
centre_turning_lane,turns
centreline,other
cfcc,other
change,other
change:backward,other
